Date,Type,region,number,change,growth,log_RR,country
2020-03-29,hospitalized,Region Nordjylland,31,4,0.14814814814814814,0.05999792967528537,Denmark
2020-03-30,hospitalized,Region Nordjylland,33,2,0.06451612903225806,0.027152246043614773,Denmark
2020-03-31,hospitalized,Region Nordjylland,31,-2,-0.06060606060606061,-0.027152246043614773,Denmark
2020-04-01,hospitalized,Region Nordjylland,29,-2,-0.06451612903225806,-0.028963695935316565,Denmark
2020-03-16,intensive,Region Nordjylland,0,,,,Denmark
2020-03-17,intensive,Region Nordjylland,0,0,NaN,NaN,Denmark
2020-03-18,intensive,Region Nordjylland,1,1,Inf,Inf,Denmark
2020-03-19,intensive,Region Nordjylland,1,0,0,0,Denmark
2020-03-20,intensive,Region Nordjylland,2,1,1,0.3010299956639812,Denmark
2020-03-21,intensive,Region Nordjylland,3,1,0.5,0.17609125905568124,Denmark
2020-03-22,intensive,Region Nordjylland,4,1,0.3333333333333333,0.12493873660829992,Denmark
2020-03-23,intensive,Region Nordjylland,4,0,0,0,Denmark
2020-03-24,intensive,Region Nordjylland,7,3,0.75,0.24303804868629442,Denmark
2020-03-25,intensive,Region Nordjylland,7,0,0,0,Denmark
2020-03-26,intensive,Region Nordjylland,8,1,0.14285714285714285,0.05799194697768673,Denmark
2020-03-27,intensive,Region Nordjylland,9,1,0.125,0.05115252244738129,Denmark
2020-03-28,intensive,Region Nordjylland,10,1,0.1111111111111111,0.04575749056067514,Denmark
2020-03-29,intensive,Region Nordjylland,10,0,0,0,Denmark
2020-03-30,intensive,Region Nordjylland,9,-1,-0.1,-0.045757490560675115,Denmark
2020-03-31,intensive,Region Nordjylland,12,3,0.3333333333333333,0.12493873660829992,Denmark
2020-04-01,intensive,Region Nordjylland,29,17,1.4166666666666667,0.3832167518513313,Denmark
2020-03-16,respirator,Region Nordjylland,,,,,Denmark
2020-03-17,respirator,Region Nordjylland,0,,,,Denmark
2020-03-18,respirator,Region Nordjylland,1,1,Inf,Inf,Denmark
2020-03-19,respirator,Region Nordjylland,1,0,0,0,Denmark
2020-03-20,respirator,Region Nordjylland,1,0,0,0,Denmark
2020-03-21,respirator,Region Nordjylland,1,0,0,0,Denmark
2020-03-22,respirator,Region Nordjylland,2,1,1,0.3010299956639812,Denmark
2020-03-23,respirator,Region Nordjylland,2,0,0,0,Denmark
2020-03-24,respirator,Region Nordjylland,2,0,0,0,Denmark
2020-03-25,respirator,Region Nordjylland,5,3,1.5,0.3979400086720376,Denmark
2020-03-26,respirator,Region Nordjylland,7,2,0.4,0.146128035678238,Denmark
2020-03-27,respirator,Region Nordjylland,8,1,0.14285714285714285,0.05799194697768673,Denmark
2020-03-28,respirator,Region Nordjylland,8,0,0,0,Denmark
2020-03-29,respirator,Region Nordjylland,8,0,0,0,Denmark
2020-03-30,respirator,Region Nordjylland,8,0,0,0,Denmark
2020-03-31,respirator,Region Nordjylland,8,0,0,0,Denmark
2020-04-01,respirator,Region Nordjylland,5,-3,-0.375,-0.2041199826559248,Denmark
2020-03-16,hospitalized,Region Sjælland,13,,,,Denmark
2020-03-17,hospitalized,Region Sjælland,18,5,0.38461538461538464,0.1413291527964693,Denmark
2020-03-18,hospitalized,Region Sjælland,27,9,0.5,0.17609125905568124,Denmark
2020-03-19,hospitalized,Region Sjælland,31,4,0.14814814814814814,0.05999792967528537,Denmark
2020-03-20,hospitalized,Region Sjælland,37,6,0.1935483870967742,0.07684003023272233,Denmark
2020-03-21,hospitalized,Region Sjælland,41,4,0.10810810810810811,0.0445821326527405,Denmark
2020-03-22,hospitalized,Region Sjælland,47,6,0.14634146341463414,0.05931400121598193,Denmark
2020-03-23,hospitalized,Region Sjælland,49,2,0.0425531914893617,0.018098222092796223,Denmark
2020-03-24,hospitalized,Region Sjælland,55,6,0.12244897959183673,0.05016660946573015,Denmark
2020-03-25,hospitalized,Region Sjælland,54,-1,-0.01818181818181818,-0.00796892967127534,Denmark
2020-03-26,hospitalized,Region Sjælland,63,9,0.16666666666666666,0.06694678963061322,Denmark
2020-03-27,hospitalized,Region Sjælland,72,9,0.14285714285714285,0.05799194697768673,Denmark
2020-03-28,hospitalized,Region Sjælland,68,-4,-0.05555555555555555,-0.024823583725032152,Denmark
2020-03-29,hospitalized,Region Sjælland,83,15,0.22058823529411764,0.08656917966983761,Denmark
2020-03-30,hospitalized,Region Sjælland,91,8,0.0963855421686747,0.03996329994501973,Denmark
2020-03-31,hospitalized,Region Sjælland,95,4,0.04395604395604396,0.018682212967754193,Denmark
2020-04-01,hospitalized,Region Sjælland,87,-8,-0.08421052631578947,-0.03820435267022926,Denmark
2020-03-16,intensive,Region Sjælland,4,,,,Denmark
2020-03-17,intensive,Region Sjælland,7,3,0.75,0.24303804868629442,Denmark
2020-03-18,intensive,Region Sjælland,7,0,0,0,Denmark
2020-03-19,intensive,Region Sjælland,7,0,0,0,Denmark
2020-03-20,intensive,Region Sjælland,9,2,0.2857142857142857,0.109144469425068,Denmark
2020-03-21,intensive,Region Sjælland,10,1,0.1111111111111111,0.04575749056067514,Denmark
2020-03-22,intensive,Region Sjælland,9,-1,-0.1,-0.045757490560675115,Denmark
2020-03-23,intensive,Region Sjælland,10,1,0.1111111111111111,0.04575749056067514,Denmark
2020-03-24,intensive,Region Sjælland,10,0,0,0,Denmark
2020-03-25,intensive,Region Sjælland,11,1,0.1,0.04139268515822507,Denmark
2020-03-26,intensive,Region Sjælland,13,2,0.18181818181818182,0.07255066714861175,Denmark
2020-03-27,intensive,Region Sjælland,14,1,0.07692307692307693,0.032184683371401235,Denmark
2020-03-28,intensive,Region Sjælland,14,0,0,0,Denmark
2020-03-29,intensive,Region Sjælland,18,4,0.2857142857142857,0.109144469425068,Denmark
2020-03-30,intensive,Region Sjælland,22,4,0.2222222222222222,0.0871501757189002,Denmark
2020-03-31,intensive,Region Sjælland,19,-3,-0.13636363636363635,-0.06366907986937727,Denmark
2020-04-01,intensive,Region Sjælland,87,68,3.5789473684210527,0.6607656516657896,Denmark
2020-03-16,respirator,Region Sjælland,,,,,Denmark
2020-03-17,respirator,Region Sjælland,,,,,Denmark
2020-03-18,respirator,Region Sjælland,7,,,,Denmark
2020-03-19,respirator,Region Sjælland,7,0,0,0,Denmark
2020-03-20,respirator,Region Sjælland,8,1,0.14285714285714285,0.05799194697768673,Denmark
